Frame #n: Right shoulder (Point 2), Right elbow (Point 3), Left shoulder (Point 5), Left elbow (Point 6) 
0: (135, 485), (114, 704), (354, 453), (375, 626) 
1: (135, 485), (114, 704), (354, 453), (375, 626) 
2: (135, 485), (114, 688), (354, 453), (375, 626) 
3: (135, 485), (114, 688), (354, 453), (375, 626) 
4: (135, 485), (114, 688), (354, 453), (375, 626) 
5: (135, 485), (114, 688), (354, 453), (375, 626) 
6: (135, 485), (114, 688), (354, 453), (386, 641) 
7: (135, 485), (114, 688), (365, 453), (386, 641) 
8: (146, 485), (125, 688), (365, 453), (386, 641) 
9: (156, 469), (135, 688), (375, 453), (396, 641) 
10: (166, 469), (135, 688), (386, 453), (406, 641) 
11: (177, 469), (146, 688), (396, 453), (417, 641) 
12: (177, 469), (156, 688), (396, 453), (427, 641) 
13: (187, 485), (156, 688), (406, 469), (427, 626) 
14: (187, 485), (166, 688), (417, 469), (427, 626) 
15: (187, 485), (166, 688), (417, 469), (438, 641) 
16: (187, 485), (166, 688), (417, 469), (438, 641) 
17: (187, 485), (166, 688), (417, 469), (438, 641) 
18: (187, 485), (156, 688), (417, 469), (438, 657) 
19: (177, 485), (146, 688), (406, 469), (427, 641) 
20: (166, 485), (135, 688), (396, 469), (417, 641) 
21: (166, 485), (125, 704), (396, 469), (406, 641) 
22: (156, 485), (125, 704), (386, 469), (406, 657) 
23: (146, 485), (114, 704), (375, 469), (396, 657) 
24: (135, 485), (104, 688), (375, 469), (386, 641) 
25: (135, 485), (93, 704), (365, 469), (386, 657) 
26: (125, 485), (93, 704), (354, 469), (375, 657) 
27: (125, 485), (83, 704), (354, 469), (375, 641) 
28: (114, 485), (83, 704), (354, 469), (365, 641) 
29: (114, 485), (83, 704), (344, 469), (365, 641) 
30: (114, 485), (83, 688), (344, 485), (365, 657) 
31: (114, 485), (83, 688), (344, 485), (365, 657) 
32: (104, 485), (83, 688), (344, 469), (365, 657) 
33: (114, 485), (83, 688), (344, 469), (365, 657) 
34: (114, 485), (83, 688), (344, 469), (365, 657) 
35: (114, 469), (93, 673), (354, 453), (375, 641) 
36: (125, 469), (93, 657), (354, 453), (375, 641) 
37: (125, 453), (104, 641), (354, 453), (375, 641) 
38: (125, 453), (93, 641), (354, 453), (386, 626) 
39: (125, 453), (93, 641), (354, 438), (375, 626) 
40: (125, 453), (93, 641), (354, 438), (375, 626) 
41: (125, 438), (93, 641), (354, 438), (375, 626) 
42: (125, 438), (93, 626), (354, 438), (375, 626) 
43: (114, 438), (93, 626), (354, 422), (375, 626) 
44: (114, 438), (93, 626), (354, 422), (365, 610) 
45: (114, 422), (93, 610), (344, 422), (365, 610) 
46: (114, 422), (83, 610), (344, 422), (365, 610) 
47: (104, 422), (83, 610), (344, 422), (365, 610) 
48: (104, 422), (83, 610), (344, 422), (365, 594) 
49: (104, 422), (83, 610), (344, 406), (365, 594) 
